mnlc_o_AM,mnlc_d_AM,AM Peak,mnlc_o_INTER,mnlc_d_INTER,Inter Peak,mnlc_o_PM,mnlc_d_PM,PM Peak
Bond Street,Canary Wharf LU,1258.0,Bond Street,London Bridge LU,4292.0,Bond Street,Waterloo LU,6635.0
Bond Street,Bank and Monument,695.0,Bond Street,Liverpool Street LU,3747.0,Bond Street,London Bridge LU,6236.0
Bond Street,Liverpool Street LU,620.0,Bond Street,Bank and Monument,3268.0,Bond Street,Liverpool Street LU,5248.0
Bond Street,St. Paul's,548.0,Bond Street,Waterloo LU,2748.0,Bond Street,North Greenwich,3158.0
Bond Street,London Bridge LU,485.0,Bond Street,Canary Wharf LU,2501.0,Bond Street,Canary Wharf LU,2895.0
Bond Street,Chancery Lane,362.0,Bond Street,St. Paul's,2359.0,Bond Street,Victoria LU,2469.0
Bond Street,Holborn,297.0,Bond Street,Chancery Lane,2000.0,Bond Street,Stratford,2285.0
Bond Street,Southwark,267.0,Bond Street,Tottenham Court Road,1766.0,Bond Street,Southwark,2156.0
Green Park,Canary Wharf LU,1020.0,Green Park,Victoria LU,5429.0,Green Park,Victoria LU,9396.0
Green Park,Victoria LU,373.0,Green Park,London Bridge LU,3557.0,Green Park,Waterloo LU,4418.0
Green Park,London Bridge LU,358.0,Green Park,Canary Wharf LU,2659.0,Green Park,London Bridge LU,3890.0
Green Park,King's Cross St. Pancras,318.0,Green Park,King's Cross St. Pancras,2532.0,Green Park,King's Cross St. Pancras,3453.0
Green Park,Brixton LU,235.0,Green Park,Waterloo LU,1914.0,Green Park,Brixton LU,3152.0
Green Park,Bank and Monument,217.0,Green Park,Knightsbridge,1704.0,Green Park,Vauxhall LU,3074.0
Green Park,Vauxhall LU,217.0,Green Park,South Kensington,1600.0,Green Park,Canary Wharf LU,2462.0
Green Park,Euston LU,191.0,Green Park,Oxford Circus,1552.0,Green Park,North Greenwich,2095.0
Waterloo LU,Bank and Monument,51631.0,Waterloo LU,Bank and Monument,10665.0,Waterloo LU,Bank and Monument,5320.0
Waterloo LU,Canary Wharf LU,23356.0,Waterloo LU,London Bridge LU,6924.0,Waterloo LU,London Bridge LU,4724.0
Waterloo LU,Oxford Circus,8222.0,Waterloo LU,Oxford Circus,5240.0,Waterloo LU,North Greenwich,3826.0
Waterloo LU,Bond Street,7346.0,Waterloo LU,Piccadilly Circus,4723.0,Waterloo LU,Leicester Square,3657.0
Waterloo LU,Piccadilly Circus,7271.0,Waterloo LU,Canary Wharf LU,4647.0,Waterloo LU,Stratford,3551.0
Waterloo LU,Tottenham Court Road,6195.0,Waterloo LU,Bond Street,4581.0,Waterloo LU,Euston LU,3503.0
Waterloo LU,Green Park,5558.0,Waterloo LU,Leicester Square,4560.0,Waterloo LU,Canary Wharf LU,3332.0
