Station,Line,AM Entry,AM Exit,PM Entry,PM Exit,Latitude,Longitude
Angel,Northern,20903,34562,45577,33338,51.53296784539842,-0.10558144830378893
Archway,Northern,27670,14186,13460,20643,51.56549031545965,-0.13512157562147284
Baker Street,Jubilee,35826,64322,77709,55018,51.52312936605881,-0.15690419298618452
Balham,Northern,47060,24726,19985,33066,51.443182314397006,-0.15268516199326135
Bank,Central & Northern,43446,237696,256564,111583,51.51334691914183,-0.08900012349437465
Barkingside,Central,6575,2397,1480,4745,51.58585076146283,0.08847664010592626
Belsize Park,Northern,13895,11769,13510,10025,51.55019061178192,-0.16397449102551867
Bermondsey,Jubilee,25153,18200,18498,20544,51.49796067750633,-0.06433008981152362
Bethnal Green,Central,32285,22058,27028,29823,51.527191653122124,-0.05539211145016204
Blackhorse Road,Victoria,35598,14324,11950,25846,51.58577656484627,-0.039625711465052844
Bond Street,Central & Jubilee,10900,85842,124027,69503,51.513797282327445,-0.14961360853164615
Borough,Northern,7130,14217,17213,9232,51.50104871772216,-0.09419732263858394
Brent Cross,Northern,7580,3616,3485,6289,51.57659886839313,-0.21333583786630983
Brixton,Victoria,112920,41218,37619,71357,51.46273661697816,-0.11455209682922837
Buckhurst Hill,Central,7991,2569,1932,5395,51.62657674004732,0.04671254142876922
Burnt Oak,Northern,15048,5896,4533,11686,51.60255148173764,-0.2643307082008112
Camden Town,Northern,16751,27613,46550,36232,51.53996912160411,-0.14245237987648948
Canada Water,Jubilee,40694,16151,14808,30435,51.498168331250874,-0.05080712084909722
Canary Wharf,Jubilee,43788,201070,186536,76946,51.50357837512887,-0.019466840139324412
Canning Town,Jubilee,41343,21500,19545,36616,51.51387030350512,0.008305632748764395
Canons Park,Jubilee,11378,4473,3641,8284,51.60765009028535,-0.294391591494146
Chalk Farm,Northern,12086,7731,10182,10602,51.54414883734655,-0.15373306950607965
Chancery Lane,Central,6231,60260,69627,28343,51.518493835819875,-0.11196202676241712
Charing Cross,Northern,31443,33271,45345,50591,51.50835842818622,-0.12480293723304417
Chigwell,Central,2567,1129,707,1627,51.61785799974183,0.07617921535230276
Clapham Common,Northern,24377,13523,13069,23175,51.461803445807924,-0.1383149013879234
Clapham North,Northern,14214,8291,8727,14870,51.46491600472909,-0.1299100619146426
Clapham South,Northern,32383,12636,9316,18386,51.45267624920499,-0.14798406833029198
Colindale,Northern,26498,13940,11090,17441,51.59523010894074,-0.2502875400711353
Colliers Wood,Northern,27085,9126,7511,16998,51.41875889952969,-0.17741509804960517
Debden,Central,7985,5204,3986,6775,51.64549214152591,0.08380147525632461
Dollis Hill,Jubilee,12914,6421,6003,9500,51.55185020227431,-0.23879775836475764
Ealing Broadway,Central,56338,28971,28950,42771,51.51486148277942,-0.3020103761336258
East Acton,Central,11852,8970,7782,9295,51.51626301045364,-0.2481122212813141
East Finchley,Northern,28461,10435,8813,17856,51.5873322776344,-0.16474388444671967
Edgware,Northern,16883,6457,5934,12789,51.61422917451505,-0.2750936620617057
Elephant and Castle,Northern,45919,33881,43698,39896,51.49584922002923,-0.10073871425628238
Embankment,Northern,20093,43633,57285,47525,51.50731229694681,-0.1223673356621198
Epping,Central,14042,4925,3917,12145,51.69368635497796,0.11382555351421217
Euston,Northern & Victoria,80576,73785,85701,95964,51.528664114832,-0.13329647081915122
Fairlop,Central,5148,1823,1232,3428,51.59610969417489,0.0905932799159299
Finchley Central,Northern,30327,13013,12975,22614,51.60090293685636,-0.19322063471165793
Finchley Road,Jubilee,23313,18689,19018,20720,51.547095906434386,-0.18005055863249353
Finsbury Park,Victoria,117788,48014,67233,69447,51.564635274841386,-0.10588148552890234
Gants Hill,Central,25353,7313,5817,18308,51.57655306294169,0.06608409806317944
Golders Green,Northern,23828,12348,11751,18316,51.57221521685042,-0.19483455693826343
Goodge Street,Northern,2235,25243,35127,14694,51.52061289126984,-0.13480768911472682
Grange Hill,Central,3375,1034,534,2109,51.61348057933538,0.09227253016869208
Green Park,Jubilee & Victoria,11029,109267,120306,64392,51.50676025371464,-0.1424775744225331
Greenford,Central,13313,7900,6240,11594,51.54197950701463,-0.3458787331310219
Hainault,Central,15206,4567,2622,10822,51.602845483752255,0.09410855083015249
Hampstead,Northern,9749,10111,9671,9648,51.55654230644866,-0.17801455810844966
